School Name,Latitude,Longitude,Address,Phone,Programs,Data Programs,school_id,Data Grades,URL,School Name,Email,"Grade, Enrollment, Admin Info",Programs Info,Tabbed Panel Content,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total Enrollment,Notices,School Text,Grades Offered,Ward,Area,Total Enrollment (Admin),School Principal,Trustee,Education Director
Bishop Pinkham School,50.9969242,-114.1307927,"3304 63 Ave SW Calgary, AB T3E 5K1",403-777-7840,"Regular (7-9) (Grades: ,7,8,9,), Early French Immersion (7-9) (Grades: ,7,8,9,), Late French Immersion (7-9) (Grades: ,7,8,9,)",",1,3,27,",148,",7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=148,Bishop Pinkham School,bishoppinkham@cbe.ab.ca,GRADES7-9WARD11AREA7TOTAL ENROLLMENT (As of Sept. 30)590SCHOOL PRINCIPALRishma HajeeTRUSTEENancy CloseEDUCATION DIRECTORDavid Dyck,PROGRAMSRegularEarly French ImmersionLate French Immersion,"2018-2019 - Spanish BilingualKindergarten – Grade 6: Glenmeadows SchoolGrade 7 and 8: A.E. Cross SchoolGrades 9: Bishop Pinkham SchoolGrades 10 – 12: Dr. E.P. Scarlett High School or William Aberhart High SchoolMay 28, 2019 | Reminder Notice: Grade Expansion at A.E. Cross School for Spanish Bilingual ProgramJune 2, 2017 | New School Opening for Springbank Hill and Discovery RidgeDec. 15, 2016 | Decision Letter | Accommodation Plans for Area IV French Immersion and Spanish Bilingual ProgramsNov. 30, 2021 | SSAP Letter Balancing K-9 EnrolmentMay 29, 2020 | Notice Regarding Overflow Designation for Kindergarten to Grade 9 Students Attending Griffith Woods SchoolApr. 19, 2018 | Reminder Notice Regarding Grade Expansion for French Immersion at Westgate School | Grade 7180Grade 8197Grade 9213 | - English and Late French Immersion program for Grades 7 – 9, Continuing French Immersion program for Grades 7 - 9, and System Communication, Sensory and Social Interaction Program (CSSI) III class.- Specialists in Core subjects, Special Education, Art, Music, CDC, Drama, Foods and Fashion, and Outdoor Education.- Strong complementary program including Art, Band, Dance, Drama, Construction, Foods and Fashion, and Outdoor Education.- Grade 8 and 9 students offered the opportunity to enhance their learning through a trip to Quebec, a West Coast Sailing trip, and Jasper.- All students in Grade 7 take a full range of complementary course in Art, Drama, Music, Construction, Foods, and Outdoor Education.",0,0,0,0,0,0,0,180,197,213,0,0,0,590,"Dec. 15, 2016 | Decision Letter | Accommodation Plans for Area IV French Immersion and Spanish Bilingual ProgramsNov. 30, 2021 | SSAP Letter Balancing K-9 EnrolmentMay 29, 2020 | Notice Regarding Overflow Designation for Kindergarten to Grade 9 Students Attending Griffith Woods SchoolApr. 19, 2018 | Reminder Notice Regarding Grade Expansion for French Immersion at Westgate School | Grade 7180Grade 8197Grade 9213 | - English and Late French Immersion program for Grades 7 – 9, Continuing French Immersion program for Grades 7 - 9, and System Communication, Sensory and Social Interaction Program (CSSI) III class.- Specialists in Core subjects, Special Education, Art, Music, CDC, Drama, Foods and Fashion, and Outdoor Education.- Strong complementary program including Art, Band, Dance, Drama, Construction, Foods and Fashion, and Outdoor Education.- Grade 8 and 9 students offered the opportunity to enhance their learning through a trip to Quebec, a West Coast Sailing trip, and Jasper.- All students in Grade 7 take a full range of complementary course in Art, Drama, Music, Construction, Foods, and Outdoor Education.","2018-2019 - Spanish BilingualKindergarten – Grade 6: Glenmeadows SchoolGrade 7 and 8: A.E. Cross SchoolGrades 9: Bishop Pinkham SchoolGrades 10 – 12: Dr. E.P. Scarlett High School or William Aberhart High SchoolMay 28, 2019  New School Opening for Springbank Hill and Discovery Ridge",7-9,11,7,590,Rishma Hajee,Nancy Close,David Dyck
Simon Fraser School,51.1001685,-114.1372586,"5215 33 St NW Calgary, AB T2L 1V3",403-777-7290,"Regular (5-6) (Grades: ,5,6,), Regular (7-9) (Grades: ,7,8,9,)",",1,1,",149,",5,6,7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=149,Simon Fraser School,simonfraser@cbe.ab.ca,GRADES5-9WARD4AREA1TOTAL ENROLLMENT (As of Sept. 30)659SCHOOL PRINCIPALGayleena ClarkTRUSTEELaura HackEDUCATION DIRECTORAubrey Fletcher,PROGRAMSRegularRegular,"Jan. 23, 2024 | Update on Overflow for Sir Winston Churchill High SchoolJan. 18, 2023 | Notice Regarding School Overflow Designation for Simon Fraser SchoolDec. 1, 2022 | Reminder: Important Changes to the Regular Program Student Population at John G. Diefenbaker High School | Grade 575Grade 6113Grade 7154Grade 8167Grade 9150 | Simon Fraser School, Home of the Flames, features a progressive, challenging, nurturing and versatile learning environment that focuses on personalized learning for each student.-Daily Physical Education; all students take Health/Life Skills; Interscholastic & intramural sports.-Gr 9 students  involved in SALTS & SEA Westcoast Sailing; focus on multiple Off-Site Trips annually including a Quebec Trip.-Clubs include  the My World Student Group, Library, Fitness and Running , Games Room, Yearbook, Computer, Tech Team, Garden, Home Ec, Leadership, Photography, Environmental Action Club, GSA & the Duke of Edinburgh Awards Program & many others.Fine and Practical Arts: Decidedly Jazz Danceworks; Fine Arts complementary courses include French, Concert Band, Guitar, Musical Theatre, Drama, Dance, Art, Home Economics, Foods & Fashion, Industrial Arts (Construction), and Environmental and Outdoor Ed.-Infusion of technology into all subject areas. Simon Fraser is a wireless environment.-Peace Initiatives Program focuses on the entire learning community involved in building respect within the community throughout the year.- Progressive Student Leadership - Student Activities Program",0,0,0,0,0,75,113,154,167,150,0,0,0,659,"Jan. 23, 2024 | Update on Overflow for Sir Winston Churchill High SchoolJan. 18, 2023 | Notice Regarding School Overflow Designation for Simon Fraser SchoolDec. 1, 2022 | Reminder: Important Changes to the Regular Program Student Population at John G. Diefenbaker High School | Grade 575Grade 6113Grade 7154Grade 8167Grade 9150 | Simon Fraser School, Home of the Flames, features a progressive, challenging, nurturing and versatile learning environment that focuses on personalized learning for each student.-Daily Physical Education; all students take Health/Life Skills; Interscholastic & intramural sports.-Gr 9 students  involved in SALTS & SEA Westcoast Sailing; focus on multiple Off-Site Trips annually including a Quebec Trip.-Clubs include  the My World Student Group, Library, Fitness and Running , Games Room, Yearbook, Computer, Tech Team, Garden, Home Ec, Leadership, Photography, Environmental Action Club, GSA & the Duke of Edinburgh Awards Program & many others.Fine and Practical Arts: Decidedly Jazz Danceworks; Fine Arts complementary courses include French, Concert Band, Guitar, Musical Theatre, Drama, Dance, Art, Home Economics, Foods & Fashion, Industrial Arts (Construction), and Environmental and Outdoor Ed.-Infusion of technology into all subject areas. Simon Fraser is a wireless environment.-Peace Initiatives Program focuses on the entire learning community involved in building respect within the community throughout the year.- Progressive Student Leadership - Student Activities Program",,5-9,4,1,659,Gayleena Clark,Laura Hack,Aubrey Fletcher
Sir Wilfrid Laurier School,51.0459806,-113.9890831,"819 32 St SE Calgary, AB T2A 0Y9",403-777-7370,"Traditional Learning Centre (TLC) (6-9) (Grades: ,6,7,8,9,)",",6,",150,",6,7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=150,Sir Wilfrid Laurier School,sirwilfridlaurier@cbe.ab.ca,GRADES6-9WARD9AREA4TOTAL ENROLLMENT (As of Sept. 30)498SCHOOL PRINCIPALAndrea PetroniTRUSTEESusan VukadinovicEDUCATION DIRECTORLisa Nachtigal,PROGRAMSTraditional Learning Centre (TLC),"Nov. 10, 2022 | Notice Re: Overflow Designation for Grade 10-12 Students Residing in Martindale, Saddle Ridge, TaradaleLearn more about the lottery process for schools at capacity. | Grade 6123Grade 7124Grade 8127Grade 9124 | - Close student, staff, community relationships- Active and changing physical education and complementary programs- Multicultural setting- Strong intramural and interschool programs- Teacher Advisor program (TA)- Inclusion of special education students in all aspects of school program",0,0,0,0,0,0,123,124,127,124,0,0,0,498,"Nov. 10, 2022 | Notice Re: Overflow Designation for Grade 10-12 Students Residing in Martindale, Saddle Ridge, TaradaleLearn more about the lottery process for schools at capacity. | Grade 6123Grade 7124Grade 8127Grade 9124 | - Close student, staff, community relationships- Active and changing physical education and complementary programs- Multicultural setting- Strong intramural and interschool programs- Teacher Advisor program (TA)- Inclusion of special education students in all aspects of school program",,6-9,9,4,498,Andrea Petroni,Susan Vukadinovic,Lisa Nachtigal
Sir John Franklin School,51.0596818,-114.0079443,"2215 8 Ave NE Calgary, AB T2E 0T7",403-777-7610,"Arts-Centred (5-9) (Grades: ,5,6,7,8,9,)",",8,",151,",5,6,7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=151,Sir John Franklin School,SirJohnFranklin@cbe.ab.ca,GRADES5-9WARD10AREA2TOTAL ENROLLMENT (As of Sept. 30)361SCHOOL PRINCIPALMonica WiersmaTRUSTEEMarilyn DennisEDUCATION DIRECTORTori Healing,PROGRAMSArts-Centred," | Grade 516Grade 663Grade 792Grade 899Grade 991 | - The Arts-Centred Learning program is supported and enhanced by the Arts-Centred Learning Resource fee. This fee provides students the opportunity to view live-arts performances, participate in artist-in-residencies and supplies arts-based learning materials.- Artists in Residence support student learning. Students have the opportunity to work with art, dance and drama-based residencies throughout the year.- The complementary program includes African drumming, band, choral, construction, dance, drama, drawing, fashion, foods, French, multimedia, painting, and sculpting- Extra-Curricular activities include athletic and cultural opportunities for all students. The athletics program is a full participant in the Calgary Junior High School Athletics.- An ACCESS program serves students with moderate to severe cognitive disabilities. The AIM program supports students with severe internalizing mental health issues. The CSSI program is students who have moderate to severe cognitive disabilities and often engage in socially inappropriate behaviours. Most of the students in this program have been diagnosed within the autism spectrum.",0,0,0,0,0,16,63,92,99,91,0,0,0,361,,"- The Arts-Centred Learning program is supported and enhanced by the Arts-Centred Learning Resource fee. This fee provides students the opportunity to view live-arts performances, participate in artist-in-residencies and supplies arts-based learning materials.- Artists in Residence support student learning. Students have the opportunity to work with art, dance and drama-based residencies throughout the year.- The complementary program includes African drumming, band, choral, construction, dance, drama, drawing, fashion, foods, French, multimedia, painting, and sculpting- Extra-Curricular activities include athletic and cultural opportunities for all students. The athletics program is a full participant in the Calgary Junior High School Athletics.- An ACCESS program serves students with moderate to severe cognitive disabilities. The AIM program supports students with severe internalizing mental health issues. The CSSI program is students who have moderate to severe cognitive disabilities and often engage in socially inappropriate behaviours. Most of the students in this program have been diagnosed within the autism spectrum.",5-9,10,2,361,Monica Wiersma,Marilyn Dennis,Tori Healing
Dr. Gladys McKelvie Egbert School,51.0589213,-113.9415862,"6033 Madigan Dr NE Calgary, AB T2A 5G9",403-777-7780,"Regular (7-9) (Grades: ,7,8,9,)",",1,",152,",7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=152,Dr. Gladys McKelvie Egbert School,drgladysmegbert@cbe.ab.ca,GRADES7-9WARD10AREA3TOTAL ENROLLMENT (As of Sept. 30)445SCHOOL PRINCIPALLeslie GoodwinTRUSTEEMarilyn DennisEDUCATION DIRECTORPrem Randhawa,PROGRAMSRegular,"Dec. 7, 2023 | Notice Grade Configuration Changes at Dr. Gladys McKelvie Egbert and Feeder SchoolsSept. 6, 2023 | Update Regarding Regular Program School Designation for Students Residing in BelvedereNov. 4, 2022 | Dr. Gladys McKelvie Egbert SSAP Letter 2022-25 Balance EnrolmentJune 2, 2021 | Notice Regarding Regular Program School Designation for Students Residing in Belvedere | Grade 6104Grade 7114Grade 8118Grade 9109 | - Option courses in leadership, multi-media (computers), art, french, drama, drumming, guitar, dance, foods and industrial arts.- 3R Character Education Program (3R - Reading, Reflecting and Respect).- Interscholastic Sports: The ELKS participate in team including cross country running, volleyball, wrestling, basketball, badminton, and track and field.- Intramurals play an important part of our students' day.- ELK Days. These are opportunities for students to work on team building and resiliency skills through participating in school-wide activities.- Community Partners: Starburst/Starbright Programs and Odyssey, sponsored by CARYA; Big Brothers and Big Sisters mentorship program; Team Inspire Leadership and TechBert with Aspen.",0,0,0,0,0,0,104,114,118,109,0,0,0,445,"Dec. 7, 2023 | Notice Grade Configuration Changes at Dr. Gladys McKelvie Egbert and Feeder SchoolsSept. 6, 2023 | Update Regarding Regular Program School Designation for Students Residing in BelvedereNov. 4, 2022 | Dr. Gladys McKelvie Egbert SSAP Letter 2022-25 Balance EnrolmentJune 2, 2021 | Notice Regarding Regular Program School Designation for Students Residing in Belvedere | Grade 6104Grade 7114Grade 8118Grade 9109 | - Option courses in leadership, multi-media (computers), art, french, drama, drumming, guitar, dance, foods and industrial arts.- 3R Character Education Program (3R - Reading, Reflecting and Respect).- Interscholastic Sports: The ELKS participate in team including cross country running, volleyball, wrestling, basketball, badminton, and track and field.- Intramurals play an important part of our students' day.- ELK Days. These are opportunities for students to work on team building and resiliency skills through participating in school-wide activities.- Community Partners: Starburst/Starbright Programs and Odyssey, sponsored by CARYA; Big Brothers and Big Sisters mentorship program; Team Inspire Leadership and TechBert with Aspen.",,7-9,10,3,445,Leslie Goodwin,Marilyn Dennis,Prem Randhawa
F.E. Osborne School,51.0928105,-114.1633551,"5315 Varsity Dr NW Calgary, AB T3A 1A7",403-777-7540,"Regular (7-9) (Grades: ,7,8,9,), Early French Immersion (6-9) (Grades: ,6,7,8,9,)",",1,3,",153,",6,7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=153,F.E. Osborne School,FEOsborne@cbe.ab.ca,GRADES6-9WARD1AREA1TOTAL ENROLLMENT (As of Sept. 30)677SCHOOL PRINCIPALMichael CutlerTRUSTEEEDUCATION DIRECTORAubrey Fletcher,PROGRAMSRegularEarly French Immersion,"Jan. 23, 2024 | Update on Overflow for Sir Winston Churchill High SchoolDec. 1, 2022 | Reminder: Important Changes to the Regular Program Student Population at John G. Diefenbaker High SchoolOct. 28, 2022 | Notice Re Grade Configuration Change for Arbour Lake School & School Designation Changes for Hawkwood Community | Grade 646Grade 7178Grade 8225Grade 9228 | - Provincial Achievement Results consistently above provincial standards- Technology rich environment- Strong ESL program includes both integration of students into the regular classrooms and direct English language instruction- Resource Counselor- Learning Strategies support- French as a Second Language program accessed by all students- Humanities program offered at Grade 7 and 8- Extra curricular includes debate club, sports teams, art club and more- Complementary classes can include band, art, drama, foods, fashion, dance, construction, and computer technology/media",0,0,0,0,0,0,46,178,225,228,0,0,0,677,"Jan. 23, 2024 | Update on Overflow for Sir Winston Churchill High SchoolDec. 1, 2022 | Reminder: Important Changes to the Regular Program Student Population at John G. Diefenbaker High SchoolOct. 28, 2022 | Notice Re Grade Configuration Change for Arbour Lake School & School Designation Changes for Hawkwood Community | Grade 646Grade 7178Grade 8225Grade 9228 | - Provincial Achievement Results consistently above provincial standards- Technology rich environment- Strong ESL program includes both integration of students into the regular classrooms and direct English language instruction- Resource Counselor- Learning Strategies support- French as a Second Language program accessed by all students- Humanities program offered at Grade 7 and 8- Extra curricular includes debate club, sports teams, art club and more- Complementary classes can include band, art, drama, foods, fashion, dance, construction, and computer technology/media",,6-9,1,1,677,Michael Cutler,,Aubrey Fletcher
Sir John A. Macdonald School,51.1115799,-114.07119,"6600 4 St NW Calgary, AB T2K 1C2",403-777-7670,"Regular (7-9) (Grades: ,7,8,9,)",",1,",154,",7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=154,Sir John A. Macdonald School,sirjohnamacdonald@cbe.ab.ca,GRADES7-9WARD4AREA2TOTAL ENROLLMENT (As of Sept. 30)769SCHOOL PRINCIPALMichelle HornbyTRUSTEELaura HackEDUCATION DIRECTORTori Healing,PROGRAMSRegular,"Overflow Designation for New Grade 10 to Grade 12 Regular Program Students for North Trail High SchoolOct. 24, 2023 | Notice Regarding Changes at Hidden Valley School and Valley Creek SchoolDec. 1, 2022 | New High School Opening in North CalgaryDec. 1, 2022 | Reminder: Important Changes to the Regular Program Student Population at John G. Diefenbaker High School | Grade 7246Grade 8248Grade 9275 | - Core Program of Studies, Fine & Performing Arts courses (Art, Drama & Music)- A full range of complementary courses in Career and Technology Foundations (CTF), and Locally Developed Courses, including: Foods, Information Processing, Construction & Fabrication, and Leadership.- Strong community engagement and support for school.- Excellent extracurricular program supported by staff and students.- Excellent and innovative teaching and learning with technology.- Interagency support for students.",0,0,0,0,0,0,0,246,248,275,0,0,0,769,"Oct. 24, 2023 | Notice Regarding Changes at Hidden Valley School and Valley Creek SchoolDec. 1, 2022 | New High School Opening in North CalgaryDec. 1, 2022 | Reminder: Important Changes to the Regular Program Student Population at John G. Diefenbaker High School | Grade 7246Grade 8248Grade 9275 | - Core Program of Studies, Fine & Performing Arts courses (Art, Drama & Music)- A full range of complementary courses in Career and Technology Foundations (CTF), and Locally Developed Courses, including: Foods, Information Processing, Construction & Fabrication, and Leadership.- Strong community engagement and support for school.- Excellent extracurricular program supported by staff and students.- Excellent and innovative teaching and learning with technology.- Interagency support for students.",Overflow Designation for New Grade 10 to Grade 12 Regular Program Students for North Trail High School,7-9,4,2,769,Michelle Hornby,Laura Hack,Tori Healing
R.T. Alderman School,50.9613248,-114.0446862,"725 Mapleton Dr SE Calgary, AB T2J 1S1",403-777-7520,"Science (5-9) (Grades: ,5,6,7,8,9,)",",5,",155,",5,6,7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=155,R.T. Alderman School,RTAlderman@cbe.ab.ca,GRADES5-9WARD11AREA5TOTAL ENROLLMENT (As of Sept. 30)670SCHOOL PRINCIPALBrenda LewisTRUSTEENancy CloseEDUCATION DIRECTORKen Weipert,PROGRAMSScience,| Grade 5111Grade 6113Grade 7160Grade 8147Grade 9139 | - Science Alternative Program- School Science Fair- Grade 7-9 Band- Grade 5-9 CTF,0,0,0,0,0,111,113,160,147,139,0,0,0,670,,- Science Alternative Program- School Science Fair- Grade 7-9 Band- Grade 5-9 CTF,5-9,11,5,670,Brenda Lewis,Nancy Close,Ken Weipert
Nickle School,50.9407707,-114.0613811,"2500 Lake Bonavista Dr SE Calgary, AB T2J 2Y6",403-777-7720,"Regular (6-9) (Grades: ,6,7,8,9,)",",1,",156,",6,7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=156,Nickle School,nickle@cbe.ab.ca,GRADES6-9WARD14AREA6TOTAL ENROLLMENT (As of Sept. 30)186SCHOOL PRINCIPALChad FlamanTRUSTEECharlene MayEDUCATION DIRECTORKenny Yeung,PROGRAMSRegular,"Dec. 14, 2023 | Notice Regarding Overflow Designation for Lakeshore SchoolDec. 7, 2023 | Grade Configuration Changes at Andrew Sibbald School and Nickle SchoolJune 14, 2023 | Nickle School Follow-Up Letter | Grade 60Grade 771Grade 859Grade 956 | - A strong, well-balanced program in core academic areas and career and technology studies.- A collaborative learning community where all stakeholders students, staff, and parents share in all decision making.",0,0,0,0,0,0,0,71,59,56,0,0,0,186,"Dec. 14, 2023 | Notice Regarding Overflow Designation for Lakeshore SchoolDec. 7, 2023 | Grade Configuration Changes at Andrew Sibbald School and Nickle SchoolJune 14, 2023 | Nickle School Follow-Up Letter | Grade 60Grade 771Grade 859Grade 956 | - A strong, well-balanced program in core academic areas and career and technology studies.- A collaborative learning community where all stakeholders students, staff, and parents share in all decision making.",,6-9,14,6,186,Chad Flaman,Charlene May,Kenny Yeung
Robert Warren School,50.9425135,-114.0848359,"12424 Elbow Dr SW Calgary, AB T2W 1H2",403-777-7690,"Spanish Bilingual (6-9) (Grades: ,6,7,8,9,)",",2,",157,",6,7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=157,Robert Warren School,robertwarren@cbe.ab.ca,GRADES6-9WARD13AREA6TOTAL ENROLLMENT (As of Sept. 30)291SCHOOL PRINCIPALKristal DerbyshireTRUSTEENancy CloseEDUCATION DIRECTORKenny Yeung,PROGRAMSSpanish Bilingual," | Grade 684Grade 760Grade 880Grade 967 | - Spanish Bilingual program (part of the International Spanish Academy sponsored by the Ministry of Education and Culture of Spain)- Well respected jazz and concert band program- Option choices include Art, Drama, Construction and Dance- Strong athletic program- 2 day cycles, 7 periods/day- Strong support for formally identified students- Well balanced programs- Safe and caring environment- Team approach with parents in support of student learning",0,0,0,0,0,0,84,60,80,67,0,0,0,291,,"- Spanish Bilingual program (part of the International Spanish Academy sponsored by the Ministry of Education and Culture of Spain)- Well respected jazz and concert band program- Option choices include Art, Drama, Construction and Dance- Strong athletic program- 2 day cycles, 7 periods/day- Strong support for formally identified students- Well balanced programs- Safe and caring environment- Team approach with parents in support of student learning",6-9,13,6,291,Kristal Derbyshire,Nancy Close,Kenny Yeung
H.D. Cartwright School,51.112655,-114.1613497,"5500 Dalhart Rd NW Calgary, AB T3A 1V6",403-777-7420,"Regular (7-9) (Grades: ,7,8,9,)",",1,",158,",7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=158,H.D. Cartwright School,hdcartwright@cbe.ab.ca,GRADES7-9WARD4AREA1TOTAL ENROLLMENT (As of Sept. 30)480SCHOOL PRINCIPALJim ParentTRUSTEELaura HackEDUCATION DIRECTORAubrey Fletcher,PROGRAMSRegular,"Jan. 23, 2024 | Update on Overflow for Sir Winston Churchill High SchoolNov. 17, 2022 | Notice Re: Designation Change for Nolan Hill Community Students Designated to Sir Winston Churchill High School | Grade 61Grade 7147Grade 8166Grade 9166 | H.D. Cartwright is a “Great Place to Learn Together”. We are proud to support a number of programs including ACCESS and Learning & Literacy to support all of our students. High expectations, respect and collaboration are what drive our programs as we continually strive for excellence.At H.D. Cartwright we are committed to the academic achievement of all our students. Teaching teams work collaboratively to provide rigorous and engaging tasks for students. Students will also experience many opportunities to connect their learning outside the classroom on the many different off-campus trips planned throughout the year. Students are encouraged to discover and create in our many Career Technology Foundations (CTF) courses that are offered.",0,0,0,0,0,0,1,147,166,166,0,0,0,480,"Jan. 23, 2024 | Update on Overflow for Sir Winston Churchill High SchoolNov. 17, 2022 | Notice Re: Designation Change for Nolan Hill Community Students Designated to Sir Winston Churchill High School | Grade 61Grade 7147Grade 8166Grade 9166 | H.D. Cartwright is a “Great Place to Learn Together”. We are proud to support a number of programs including ACCESS and Learning & Literacy to support all of our students. High expectations, respect and collaboration are what drive our programs as we continually strive for excellence.At H.D. Cartwright we are committed to the academic achievement of all our students. Teaching teams work collaboratively to provide rigorous and engaging tasks for students. Students will also experience many opportunities to connect their learning outside the classroom on the many different off-campus trips planned throughout the year. Students are encouraged to discover and create in our many Career Technology Foundations (CTF) courses that are offered.",,7-9,4,1,480,Jim Parent,Laura Hack,Aubrey Fletcher
Dr. Gordon Higgins School,51.0752737,-113.9706882,"155 Rundlehill Dr NE Calgary, AB T1Y 2W9",403-777-7060,"Regular (7-9) (Grades: ,7,8,9,)",",1,",159,",7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=159,Dr. Gordon Higgins School,drgordonhiggins@cbe.ab.ca,GRADES7-9WARD10AREA4TOTAL ENROLLMENT (As of Sept. 30)689SCHOOL PRINCIPALColin McCrackenTRUSTEEMarilyn DennisEDUCATION DIRECTORLori Cooper,PROGRAMSRegular,"Jan. 31, 2024 | Update to Overflow School Designation for Grade 7 to Grade 9 Regular Program Students Residing in Skyview RanchJan. 31, 2024 | Overflow School Designation for Grade 7 to Grade 9 Regular Program Students Residing in RedstoneMay 30, 2023 | Overflow Designation for Kindergarten to Grade 9 Students Residing in Skyview RanchMay 15, 2023 | Overflow Designation for Kindergarten to Grade 9 Students Residing in Skyview RanchNov. 4, 2022 | Dr. Gordon Higgins SSAP Letter 2022-25 New SchoolApr. 27, 2022 | Notice Regarding New School Opening in Skyview RanchAug. 27, 2020 | Notice Regarding Regular Program School Designation for Students Residing in HomesteadMar. 9, 2018 | Regular Program Designation Change for Cityscape Grade 7-9 | Grade 7252Grade 8205Grade 9232 | - We are the ""essence of diversity"" with a wonderful multicultural population. The Core program has a focus on literacy and numeracy initiatives that support academic excellence across the curriculum. We also offer a Pace Learning Program (PLP) and an English as a Second Language (ESL) cohort.- All students participate in a daily physical education program.- Our exploratory program boasts a wide number of experiences includingFine arts: art, band and drama.Career and Technology Foundations: construction, graphics, programming, foods, fashion, film studies, multimedia, design thinking, robotics and environmental/outdoor education.- We have a community partnership with the law firm Norton Rose Fullbright Canada LLP / S.E.N.C.R.L., s.r.l. which provides program support and a variety of educational opportunities.- We also partner with Brown Bagging for Kids to supply modest lunches to students in need.- We have strong parental support through the School Council and our volunteer program. We invite you to join.",0,0,0,0,0,0,0,252,205,232,0,0,0,689,"Jan. 31, 2024 | Update to Overflow School Designation for Grade 7 to Grade 9 Regular Program Students Residing in Skyview RanchJan. 31, 2024 | Overflow School Designation for Grade 7 to Grade 9 Regular Program Students Residing in RedstoneMay 30, 2023 | Overflow Designation for Kindergarten to Grade 9 Students Residing in Skyview RanchMay 15, 2023 | Overflow Designation for Kindergarten to Grade 9 Students Residing in Skyview RanchNov. 4, 2022 | Dr. Gordon Higgins SSAP Letter 2022-25 New SchoolApr. 27, 2022 | Notice Regarding New School Opening in Skyview RanchAug. 27, 2020 | Notice Regarding Regular Program School Designation for Students Residing in HomesteadMar. 9, 2018 | Regular Program Designation Change for Cityscape Grade 7-9 | Grade 7252Grade 8205Grade 9232 | - We are the ""essence of diversity"" with a wonderful multicultural population. The Core program has a focus on literacy and numeracy initiatives that support academic excellence across the curriculum. We also offer a Pace Learning Program (PLP) and an English as a Second Language (ESL) cohort.- All students participate in a daily physical education program.- Our exploratory program boasts a wide number of experiences includingFine arts: art, band and drama.Career and Technology Foundations: construction, graphics, programming, foods, fashion, film studies, multimedia, design thinking, robotics and environmental/outdoor education.- We have a community partnership with the law firm Norton Rose Fullbright Canada LLP / S.E.N.C.R.L., s.r.l. which provides program support and a variety of educational opportunities.- We also partner with Brown Bagging for Kids to supply modest lunches to students in need.- We have strong parental support through the School Council and our volunteer program. We invite you to join.",,7-9,10,4,689,Colin McCracken,Marilyn Dennis,Lori Cooper
